archiveID,url,verdict,detail
1953-pickup-on-south-street-manos-peligrosas-samuel-fuller-vose,https://archivewatch.org/subs/1953-pickup-on-south-street-manos-peligrosas-samuel-fuller-vose/en.vtt,ok,1002 cues
Cartoonita.com,https://archivewatch.org/subs/Cartoonita.com/en.vtt,ok,1981 cues
TheWestPointStory,https://archivewatch.org/subs/TheWestPointStory/en.vtt,ok,1590 cues
night-editor-1946_202403,https://archivewatch.org/subs/night-editor-1946_202403/en.vtt,ok,789 cues
TinkerBellAndTheLostTreasure,https://archivewatch.org/subs/TinkerBellAndTheLostTreasure/en.vtt,ok,996 cues
aty-baty_shli_soldaty,https://archivewatch.org/subs/aty-baty_shli_soldaty/en.vtt,binary,UTF-16 / NUL-heavy
mr.-x-in-bombay.-1964.1-cd.-by.-kamran-444,https://archivewatch.org/subs/mr.-x-in-bombay.-1964.1-cd.-by.-kamran-444/en.vtt,ok,1788 cues
tom-sawyer-1973_202511,https://archivewatch.org/subs/tom-sawyer-1973_202511/en.vtt,ok,1445 cues
dunyayi-kurtaran-adam_movie,https://archivewatch.org/subs/dunyayi-kurtaran-adam_movie/en.vtt,ok,431 cues
TheFredWaringShow-8October1949,https://archivewatch.org/subs/TheFredWaringShow-8October1949/en.vtt,ok,437 cues
dead-of-night-1972,https://archivewatch.org/subs/dead-of-night-1972/en.vtt,ok,869 cues
ErrolFlynn--Sealed_Room,https://archivewatch.org/subs/ErrolFlynn--Sealed_Room/en.vtt,ok,396 cues
1957-11-04_Pennsylvania,https://archivewatch.org/subs/1957-11-04_Pennsylvania/en.vtt,ok,24 cues
theJanePowellShow-UnsoldPilot,https://archivewatch.org/subs/theJanePowellShow-UnsoldPilot/en.vtt,ok,521 cues
beavervalley_201702,https://archivewatch.org/subs/beavervalley_201702/en.vtt,ok,318 cues
JealousJoeRandolph,https://archivewatch.org/subs/JealousJoeRandolph/en.vtt,ok,699 cues
episode_920,https://archivewatch.org/subs/episode_920/en.vtt,ok,22 cues
The_Mickey_Rooney_Show_Misc_ep_08,https://archivewatch.org/subs/The_Mickey_Rooney_Show_Misc_ep_08/en.vtt,ok,309 cues
black_raven,https://archivewatch.org/subs/black_raven/en.vtt,ok,633 cues
jack_and_the_beanstalk_ipod,https://archivewatch.org/subs/jack_and_the_beanstalk_ipod/en.vtt,ok,902 cues
TheMonolithMonsters1957,https://archivewatch.org/subs/TheMonolithMonsters1957/en.vtt,ok,827 cues
Suddenly_1954,https://archivewatch.org/subs/Suddenly_1954/en.vtt,ok,1587 cues
star-in-the-dust-1956-,https://archivewatch.org/subs/star-in-the-dust-1956-/en.vtt,ok,922 cues
BlackWidow1954,https://archivewatch.org/subs/BlackWidow1954/en.vtt,ok,1586 cues
The_Strangler_1963,https://archivewatch.org/subs/The_Strangler_1963/en.vtt,ok,1071 cues
1955-mr.-arkadin-confidential-report-orson-welles-vose,https://archivewatch.org/subs/1955-mr.-arkadin-confidential-report-orson-welles-vose/en.vtt,ok,1600 cues
the-stranger-1946_202404,https://archivewatch.org/subs/the-stranger-1946_202404/en.vtt,ok,1343 cues
the-turning-point-1952_202502,https://archivewatch.org/subs/the-turning-point-1952_202502/en.vtt,ok,1500 cues
AStrangerInTown,https://archivewatch.org/subs/AStrangerInTown/en.vtt,ok,902 cues
1949-johnny-allegro-ted-tetzlaff-vose,https://archivewatch.org/subs/1949-johnny-allegro-ted-tetzlaff-vose/en.vtt,ok,1121 cues
1936-das-madchen-irene-lil-dagover-sabine-peters-hedwig-bleibtreu-elsa-wagner-karl-schonbock,https://archivewatch.org/subs/1936-das-madchen-irene-lil-dagover-sabine-peters-hedwig-bleibtreu-elsa-wagner-karl-schonbock/en.vtt,ok,1114 cues
oliver.-twist.-1948,https://archivewatch.org/subs/oliver.-twist.-1948/en.vtt,ok,985 cues
house.of.-usher-1960,https://archivewatch.org/subs/house.of.-usher-1960/en.vtt,ok,949 cues
